Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.42,-.66,-.25,-.75,-.31,-.25,-1.18,-.84,-.60,-.30,-.30,-.23,.07,*****
1881,-.38,-.50,-.36,-.54,-.30,-.42,-1.02,-.69,-.30,-.30,-.17,-.36,-.23,*****
1882,-.29,-.48,-.22,-.56,-.13,-.29,-1.47,-.43,-.42,-.13,-.07,-.24,-.09,*****
1883,-.32,-.67,-.08,-.77,-.21,-.13,-.32,-1.00,-.69,-.27,.04,-.13,.28,*****
1884,-.59,-.89,-.40,-.99,-.48,-.42,-1.32,-1.06,-.84,-.49,-.36,-.28,-.63,*****
1885,-.45,-.70,-.35,-.81,-.21,-.39,-1.37,-.82,-.63,-.17,-.28,-.29,-.41,*****
1886,-.59,-.67,-.54,-.74,-.47,-.49,-1.27,-.66,-.67,-.38,-.72,-.41,-.46,*****
1887,-.66,-.71,-.63,-.77,-.58,-.56,-1.64,-.83,-.47,-.48,-.82,-.55,-.21,*****
1888,-.44,-.69,-.31,-.80,-.26,-.34,-1.58,-.93,-.48,-.25,-.25,-.10,-.65,*****
1889,-.19,-.37,-.12,-.46,.03,-.28,-.76,-.46,-.38,-.03,.17,-.16,-.33,*****
1890,-.56,-.56,-.62,-.61,-.60,-.41,-1.16,-.74,-.32,-.39,-.90,-.48,-.01,*****
1891,-.59,-.54,-.73,-.63,-.57,-.45,-1.35,-.51,-.51,-.22,-1.10,-.42,-.27,*****
1892,-.49,-.56,-.50,-.65,-.40,-.43,-1.48,-.72,-.36,-.26,-.55,-.46,-.09,*****
1893,-.52,-.58,-.54,-.62,-.58,-.32,-1.03,-.59,-.51,-.42,-.75,-.51,.39,*****
1894,-.43,-.48,-.47,-.52,-.50,-.22,-1.24,-.47,-.30,-.33,-.69,-.35,.32,*****
1895,-.35,-.45,-.32,-.53,-.33,-.17,-.94,-.56,-.34,-.21,-.47,-.20,.10,*****
1896,-.31,-.42,-.35,-.56,-.28,-.08,-1.22,-.67,-.23,.00,-.59,-.08,.12,*****
1897,-.22,-.27,-.23,-.38,-.02,-.30,-.78,-.35,-.27,.09,-.14,-.17,-.35,*****
1898,-.38,-.35,-.46,-.41,-.33,-.40,-1.25,-.29,-.20,-.17,-.50,-.29,-.43,*****
1899,-.31,-.21,-.49,-.28,-.32,-.30,-1.18,-.16,-.06,.01,-.67,-.20,-.31,*****
1900,-.15,-.15,-.19,-.21,-.04,-.25,-.71,-.14,-.08,.03,-.11,-.11,-.34,*****
1901,-.14,-.12,-.18,-.15,-.14,-.11,-.55,.06,-.19,-.03,-.25,-.09,.12,*****
1902,-.36,-.48,-.31,-.64,-.09,-.42,-1.72,-.63,-.25,.00,-.19,-.25,-.61,*****
1903,-.42,-.41,-.47,-.48,-.30,-.53,-.57,-.36,-.54,-.19,-.41,-.47,-.40,-1.35
1904,-.54,-.48,-.62,-.48,-.62,-.48,-.43,-.46,-.51,-.48,-.77,-.38,-.38,-1.72
1905,-.36,-.35,-.38,-.40,-.26,-.45,-.27,-.21,-.60,-.24,-.28,-.40,-.32,-.91
1906,-.24,-.21,-.28,-.23,-.21,-.30,-.46,-.03,-.32,-.17,-.24,-.19,-.28,-.96
1907,-.54,-.61,-.51,-.70,-.47,-.45,-.81,-.86,-.53,-.39,-.56,-.43,-.22,-1.29
1908,-.40,-.40,-.43,-.44,-.43,-.32,-.52,-.45,-.40,-.32,-.55,-.47,.17,.69
1909,-.42,-.43,-.44,-.49,-.35,-.42,-.89,-.50,-.36,-.26,-.46,-.48,-.05,-.81
